

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
       Maxwell	 5.508e+00	 5.523e+00	 5.535e+00	 9.934e-03
    Maxwell_BC	 4.459e+00	 4.522e+00	 4.577e+00	 4.804e-02
   Diagnostics	 1.430e+01	 1.434e+01	 1.437e+01	 2.646e-02
     Densities	 1.108e+00	 1.121e+00	 1.127e+00	 7.686e-03
    Collisions	 4.419e+00	 4.443e+00	 4.463e+00	 1.621e-02
    Mov window	 1.084e+00	 1.098e+00	 1.107e+00	 8.112e-03
Sync Particles	 2.216e+01	 2.218e+01	 2.221e+01	 1.735e-02
   Sync Fields	 1.008e+01	 1.029e+01	 1.059e+01	 2.088e-01
Sync Densities	 1.072e+01	 1.085e+01	 1.097e+01	 1.196e-01
  Part Merging	 2.198e+00	 2.222e+00	 2.255e+00	 2.127e-02
Part Injection	 2.196e+00	 2.229e+00	 2.262e+00	 2.328e-02


--- Timestep = 7 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.097e+00	 5.109e+00	 5.134e+00	 1.528e-02
       Maxwell	 6.301e+00	 6.316e+00	 6.329e+00	 1.129e-02
    Maxwell_BC	 5.094e+00	 5.166e+00	 5.225e+00	 5.401e-02
   Diagnostics	 1.633e+01	 1.637e+01	 1.640e+01	 2.781e-02
     Densities	 1.270e+00	 1.283e+00	 1.298e+00	 1.156e-02
    Collisions	 5.044e+00	 5.070e+00	 5.087e+00	 1.596e-02
    Mov window	 1.236e+00	 1.251e+00	 1.260e+00	 9.081e-03
Sync Particles	 2.531e+01	 2.534e+01	 2.536e+01	 2.249e-02
   Sync Fields	 1.155e+01	 1.177e+01	 1.208e+01	 2.114e-01
Sync Densities	 1.226e+01	 1.240e+01	 1.251e+01	 1.054e-01
  Part Merging	 2.512e+00	 2.534e+00	 2.570e+00	 2.161e-02
Part Injection	 2.520e+00	 2.544e+00	 2.569e+00	 1.754e-02


--- Timestep = 8 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.720e+00	 5.737e+00	 5.766e+00	 1.715e-02
       Maxwell	 7.083e+00	 7.096e+00	 7.106e+00	 8.491e-03
    Maxwell_BC	 5.750e+00	 5.813e+00	 5.875e+00	 4.741e-02
   Diagnostics	 1.835e+01	 1.840e+01	 1.843e+01	 3.031e-02
     Densities	 1.420e+00	 1.442e+00	 1.467e+00	 1.938e-02
    Collisions	 5.675e+00	 5.700e+00	 5.718e+00	 1.774e-02
    Mov window	 1.389e+00	 1.408e+00	 1.423e+00	 1.283e-02
Sync Particles	 2.845e+01	 2.848e+01	 2.852e+01	 2.808e-02
   Sync Fields	 1.304e+01	 1.322e+01	 1.348e+01	 1.738e-01
Sync Densities	 1.378e+01	 1.391e+01	 1.405e+01	 9.991e-02
  Part Merging	 2.823e+00	 2.845e+00	 2.888e+00	 2.551e-02
Part Injection	 2.839e+00	 2.860e+00	 2.895e+00	 2.208e-02


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.362e+00	 6.380e+00	 6.409e+00	 1.773e-02
       Maxwell	 7.882e+00	 7.890e+00	 7.904e+00	 8.936e-03
    Maxwell_BC	 6.420e+00	 6.471e+00	 6.535e+00	 4.500e-02
   Diagnostics	 2.040e+01	 2.045e+01	 2.049e+01	 3.509e-02
     Densities	 1.581e+00	 1.604e+00	 1.623e+00	 1.739e-02
    Collisions	 6.306e+00	 6.330e+00	 6.349e+00	 1.834e-02
    Mov window	 1.541e+00	 1.563e+00	 1.576e+00	 1.425e-02
Sync Particles	 3.160e+01	 3.166e+01	 3.173e+01	 4.566e-02
   Sync Fields	 1.453e+01	 1.472e+01	 1.498e+01	 1.678e-01
Sync Densities	 1.530e+01	 1.544e+01	 1.563e+01	 1.185e-01
  Part Merging	 3.143e+00	 3.172e+00	 3.227e+00	 3.294e-02
Part Injection	 3.152e+00	 3.179e+00	 3.221e+00	 2.653e-02


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.362e+00	 6.380e+00	 6.409e+00	 1.773e-02
       Maxwell	 7.882e+00	 7.890e+00	 7.904e+00	 8.936e-03
    Maxwell_BC	 6.420e+00	 6.471e+00	 6.535e+00	 4.500e-02
   Diagnostics	 2.042e+01	 2.048e+01	 2.051e+01	 3.562e-02
     Densities	 1.582e+00	 1.607e+00	 1.628e+00	 1.840e-02
    Collisions	 6.314e+00	 6.337e+00	 6.356e+00	 1.831e-02
    Mov window	 1.542e+00	 1.564e+00	 1.578e+00	 1.464e-02
Sync Particles	 3.160e+01	 3.166e+01	 3.173e+01	 4.566e-02
   Sync Fields	 1.453e+01	 1.472e+01	 1.498e+01	 1.678e-01
Sync Densities	 1.530e+01	 1.544e+01	 1.563e+01	 1.185e-01
  Part Merging	 3.143e+00	 3.172e+00	 3.227e+00	 3.294e-02
Part Injection	 3.152e+00	 3.179e+00	 3.221e+00	 2.653e-02
