##################################################################
# Time: Fri May 29 22:45:54 2026
# System: Linux (6.8.0-111-generic), aarch64
# Version: #111-Ubuntu SMP PREEMPT_DYNAMIC Sat Apr 11 22:59:23 UTC 2026
# Total memory on nodes: min=54.81GB, max=54.81GB
##################################################################

Step   92: Max = 3.839851, Min = 3.839851, Average = 3.839851 
Step   93: Max = 3.837448, Min = 3.837448, Average = 3.837448 
Step   94: Max = 3.843132, Min = 3.843132, Average = 3.843132 
Step   95: Max = 3.843132, Min = 3.843132, Average = 3.843132 
Step   96: Max = 3.840981, Min = 3.840981, Average = 3.840981 
Step   97: Max = 3.840981, Min = 3.840981, Average = 3.840981 
Step   98: Max = 3.839565, Min = 3.839565, Average = 3.839565 
Step   99: Max = 3.839565, Min = 3.839565, Average = 3.839565 
Step  100: Max = 3.839565, Min = 3.839565, Average = 3.839565 
Step  101: Max = 3.839565, Min = 3.839565, Average = 3.839565 
Step  102: Max = 3.838844, Min = 3.838844, Average = 3.838844 
Step  103: Max = 3.838844, Min = 3.838844, Average = 3.838844 
Step  104: Max = 3.838844, Min = 3.838844, Average = 3.838844 
Step  105: Max = 3.838123, Min = 3.838123, Average = 3.838123 
Step  106: Max = 3.838020, Min = 3.838020, Average = 3.838020 
Step  107: Max = 3.838020, Min = 3.838020, Average = 3.838020 
Step  108: Max = 3.838020, Min = 3.838020, Average = 3.838020 
Step  109: Max = 3.838020, Min = 3.838020, Average = 3.838020 
Step  110: Max = 3.838131, Min = 3.838131, Average = 3.838131 
Step  111: Max = 3.838131, Min = 3.838131, Average = 3.838131 
Step  112: Max = 3.837410, Min = 3.837410, Average = 3.837410 
Step  113: Max = 3.837410, Min = 3.837410, Average = 3.837410 
Step  114: Max = 3.837410, Min = 3.837410, Average = 3.837410 
Step  115: Max = 3.837410, Min = 3.837410, Average = 3.837410 
Step  116: Max = 3.837410, Min = 3.837410, Average = 3.837410 
Step  117: Max = 3.837410, Min = 3.837410, Average = 3.837410 
Step  118: Max = 3.837410, Min = 3.837410, Average = 3.837410 
Step  119: Max = 3.837410, Min = 3.837410, Average = 3.837410 
Step  120: Max = 3.837410, Min = 3.837410, Average = 3.837410 
Step  121: Max = 3.837410, Min = 3.837410, Average = 3.837410 
Step  122: Max = 3.837410, Min = 3.837410, Average = 3.837410 
Step  123: Max = 3.837650, Min = 3.837650, Average = 3.837650 
Step  124: Max = 3.837650, Min = 3.837650, Average = 3.837650 
Step  125: Max = 3.837650, Min = 3.837650, Average = 3.837650 
Step  126: Max = 3.837650, Min = 3.837650, Average = 3.837650 
Step  127: Max = 3.837650, Min = 3.837650, Average = 3.837650 
Step  128: Max = 3.836929, Min = 3.836929, Average = 3.836929 
Step  129: Max = 3.836929, Min = 3.836929, Average = 3.836929 
Step  130: Max = 3.836929, Min = 3.836929, Average = 3.836929 
Step  131: Max = 3.836929, Min = 3.836929, Average = 3.836929 
Step  132: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  133: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  134: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  135: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  136: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  137: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  138: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  139: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  140: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  141: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  142: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  143: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  144: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  145: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  146: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  147: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  148: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  149: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  150: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  151: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  152: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  153: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  154: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  155: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  156: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  157: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  158: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  159: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  160: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  161: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  162: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  163: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  164: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  165: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  166: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  167: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  168: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  169: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  170: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  171: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  172: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  173: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  174: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  175: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  176: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  177: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  178: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  179: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  180: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  181: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  182: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  183: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  184: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  185: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  186: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  187: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  188: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  189: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  190: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  191: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  192: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  193: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  194: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  195: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  196: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  197: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  198: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  199: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  200: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  201: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  202: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  203: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  204: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  205: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  206: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  207: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  208: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  209: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  210: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  211: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  212: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  213: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  214: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  215: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  216: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  217: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  218: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  219: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  220: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  221: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  222: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  223: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  224: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  225: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  226: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  227: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  228: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  229: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  230: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  231: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  232: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  233: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  234: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  235: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  236: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  237: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  238: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  239: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  240: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  241: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  242: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  243: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  244: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  245: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  246: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  247: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  248: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  249: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  250: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  251: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  252: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  253: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  254: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  255: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  256: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  257: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  258: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  259: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  260: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  261: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  262: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  263: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  264: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  265: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  266: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  267: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  268: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  269: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  270: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  271: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  272: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  273: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  274: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  275: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  276: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  277: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  278: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  279: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  280: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  281: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  282: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  283: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  284: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  285: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  286: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  287: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  288: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  289: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  290: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  291: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  292: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  293: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  294: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  295: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  296: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  297: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  298: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  299: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  300: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  301: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  302: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  303: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  304: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  305: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  306: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  307: Max = 3.836208, Min = 3.836208, Average = 3.836208 
Step  308: Max = 3.835728, Min = 3.835728, Average = 3.835728 
Step  309: Max = 3.835728, Min = 3.835728, Average = 3.835728 
Step  310: Max = 3.835728, Min = 3.835728, Average = 3.835728 
Step  311: Max = 3.835728, Min = 3.835728, Average = 3.835728 
Step  312: Max = 3.835728, Min = 3.835728, Average = 3.835728 
Step  313: Max = 3.835728, Min = 3.835728, Average = 3.835728 
Step  314: Max = 3.835728, Min = 3.835728, Average = 3.835728 
Step  315: Max = 3.835728, Min = 3.835728, Average = 3.835728 
Step  316: Max = 3.835728, Min = 3.835728, Average = 3.835728 
Step  317: Max = 3.835728, Min = 3.835728, Average = 3.835728 
Step  318: Max = 3.835247, Min = 3.835247, Average = 3.835247 
Step  319: Max = 3.834766, Min = 3.834766, Average = 3.834766 
Step  320: Max = 3.834766, Min = 3.834766, Average = 3.834766 
Step  321: Max = 3.834045, Min = 3.834045, Average = 3.834045 
Step  322: Max = 3.834045, Min = 3.834045, Average = 3.834045 
Step  323: Max = 3.833324, Min = 3.833324, Average = 3.833324 
Step  324: Max = 3.832603, Min = 3.832603, Average = 3.832603 
Step  325: Max = 3.832603, Min = 3.832603, Average = 3.832603 
Step  326: Max = 3.832603, Min = 3.832603, Average = 3.832603 
Step  327: Max = 3.832603, Min = 3.832603, Average = 3.832603 
Step  328: Max = 3.831882, Min = 3.831882, Average = 3.831882 
Step  329: Max = 3.831402, Min = 3.831402, Average = 3.831402 
Step  330: Max = 3.831402, Min = 3.831402, Average = 3.831402 
Step  331: Max = 3.831402, Min = 3.831402, Average = 3.831402 
Step  332: Max = 3.831402, Min = 3.831402, Average = 3.831402 
Step  333: Max = 3.831402, Min = 3.831402, Average = 3.831402 
Step  334: Max = 3.831402, Min = 3.831402, Average = 3.831402 
Step  335: Max = 3.831402, Min = 3.831402, Average = 3.831402 
Step  336: Max = 3.831402, Min = 3.831402, Average = 3.831402 
Step  337: Max = 3.831402, Min = 3.831402, Average = 3.831402 
Step  338: Max = 3.831402, Min = 3.831402, Average = 3.831402 
Step  339: Max = 3.831402, Min = 3.831402, Average = 3.831402 
Step  340: Max = 3.832397, Min = 3.832397, Average = 3.832397 
Step  341: Max = 3.832397, Min = 3.832397, Average = 3.832397 
Step  342: Max = 3.832397, Min = 3.832397, Average = 3.832397 
Step  343: Max = 3.832397, Min = 3.832397, Average = 3.832397 
Step  344: Max = 3.832397, Min = 3.832397, Average = 3.832397 
Step  345: Max = 3.832397, Min = 3.832397, Average = 3.832397 
Step  346: Max = 3.832397, Min = 3.832397, Average = 3.832397 
Step  347: Max = 3.831676, Min = 3.831676, Average = 3.831676 
Step  348: Max = 3.827351, Min = 3.827351, Average = 3.827351 
Step  349: Max = 3.827351, Min = 3.827351, Average = 3.827351 
Step  350: Max = 3.827351, Min = 3.827351, Average = 3.827351 
Step  351: Max = 3.827351, Min = 3.827351, Average = 3.827351 
Step  352: Max = 3.827351, Min = 3.827351, Average = 3.827351 
Step  353: Max = 3.827351, Min = 3.827351, Average = 3.827351 
Step  354: Max = 3.827351, Min = 3.827351, Average = 3.827351 
Step  355: Max = 3.827351, Min = 3.827351, Average = 3.827351 
Step  356: Max = 3.827351, Min = 3.827351, Average = 3.827351 
Step  357: Max = 3.827351, Min = 3.827351, Average = 3.827351 
Step  358: Max = 3.827351, Min = 3.827351, Average = 3.827351 
Step  359: Max = 3.827351, Min = 3.827351, Average = 3.827351 
Step  360: Max = 3.827351, Min = 3.827351, Average = 3.827351 
Step  361: Max = 3.827351, Min = 3.827351, Average = 3.827351 
Step  362: Max = 3.827351, Min = 3.827351, Average = 3.827351 
Step  363: Max = 3.827351, Min = 3.827351, Average = 3.827351 
Step  364: Max = 3.827351, Min = 3.827351, Average = 3.827351 
Step  365: Max = 3.826630, Min = 3.826630, Average = 3.826630 
Step  366: Max = 3.826630, Min = 3.826630, Average = 3.826630 
Step  367: Max = 3.826630, Min = 3.826630, Average = 3.826630 
Step  368: Max = 3.826630, Min = 3.826630, Average = 3.826630 
Step  369: Max = 3.826630, Min = 3.826630, Average = 3.826630 
Step  370: Max = 3.826630, Min = 3.826630, Average = 3.826630 
Step  371: Max = 3.826630, Min = 3.826630, Average = 3.826630 
Step  372: Max = 3.826630, Min = 3.826630, Average = 3.826630 
Step  373: Max = 3.826630, Min = 3.826630, Average = 3.826630 
Step  374: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  375: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  376: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  377: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  378: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  379: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  380: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  381: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  382: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  383: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  384: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  385: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  386: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  387: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  388: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  389: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  390: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  391: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  392: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  393: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  394: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  395: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  396: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  397: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  398: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  399: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  400: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  401: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  402: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  403: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  404: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  405: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  406: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  407: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  408: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  409: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  410: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  411: Max = 3.825909, Min = 3.825909, Average = 3.825909 
Step  412: Max = 3.825909, Min = 3.825909, Average = 3.825909 
