

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
       Maxwell	 6.176e+00	 6.225e+00	 6.291e+00	 4.403e-02
    Maxwell_BC	 5.045e+00	 5.074e+00	 5.103e+00	 2.069e-02
   Diagnostics	 1.616e+01	 1.618e+01	 1.620e+01	 1.619e-02
     Densities	 1.234e+00	 1.255e+00	 1.286e+00	 2.174e-02
    Collisions	 4.932e+00	 4.968e+00	 5.003e+00	 2.844e-02
    Mov window	 1.210e+00	 1.233e+00	 1.247e+00	 1.410e-02
Sync Particles	 2.486e+01	 2.494e+01	 2.500e+01	 5.001e-02
   Sync Fields	 1.182e+01	 1.196e+01	 1.205e+01	 8.642e-02
Sync Densities	 1.245e+01	 1.259e+01	 1.269e+01	 9.632e-02
  Part Merging	 2.471e+00	 2.491e+00	 2.501e+00	 1.184e-02
Part Injection	 2.440e+00	 2.480e+00	 2.509e+00	 2.511e-02


--- Timestep = 7 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.708e+00	 5.722e+00	 5.756e+00	 1.959e-02
       Maxwell	 7.060e+00	 7.104e+00	 7.168e+00	 4.145e-02
    Maxwell_BC	 5.780e+00	 5.805e+00	 5.835e+00	 2.196e-02
   Diagnostics	 1.843e+01	 1.848e+01	 1.852e+01	 3.443e-02
     Densities	 1.402e+00	 1.430e+00	 1.470e+00	 2.673e-02
    Collisions	 5.641e+00	 5.676e+00	 5.710e+00	 2.907e-02
    Mov window	 1.386e+00	 1.409e+00	 1.427e+00	 1.516e-02
Sync Particles	 2.841e+01	 2.848e+01	 2.855e+01	 5.059e-02
   Sync Fields	 1.343e+01	 1.364e+01	 1.376e+01	 1.237e-01
Sync Densities	 1.415e+01	 1.436e+01	 1.453e+01	 1.367e-01
  Part Merging	 2.816e+00	 2.840e+00	 2.856e+00	 1.476e-02
Part Injection	 2.784e+00	 2.829e+00	 2.853e+00	 2.665e-02


--- Timestep = 8 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.422e+00	 6.432e+00	 6.450e+00	 1.097e-02
       Maxwell	 7.959e+00	 8.002e+00	 8.072e+00	 4.520e-02
    Maxwell_BC	 6.509e+00	 6.538e+00	 6.581e+00	 2.712e-02
   Diagnostics	 2.070e+01	 2.077e+01	 2.082e+01	 4.448e-02
     Densities	 1.586e+00	 1.608e+00	 1.640e+00	 2.277e-02
    Collisions	 6.354e+00	 6.385e+00	 6.411e+00	 2.300e-02
    Mov window	 1.565e+00	 1.583e+00	 1.605e+00	 1.479e-02
Sync Particles	 3.197e+01	 3.201e+01	 3.209e+01	 4.598e-02
   Sync Fields	 1.512e+01	 1.527e+01	 1.533e+01	 8.708e-02
Sync Densities	 1.581e+01	 1.605e+01	 1.625e+01	 1.599e-01
  Part Merging	 3.172e+00	 3.193e+00	 3.207e+00	 1.268e-02
Part Injection	 3.134e+00	 3.179e+00	 3.223e+00	 3.161e-02


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 7.126e+00	 7.144e+00	 7.176e+00	 1.899e-02
       Maxwell	 8.846e+00	 8.892e+00	 8.955e+00	 4.004e-02
    Maxwell_BC	 7.224e+00	 7.262e+00	 7.306e+00	 3.137e-02
   Diagnostics	 2.298e+01	 2.305e+01	 2.311e+01	 4.356e-02
     Densities	 1.758e+00	 1.784e+00	 1.820e+00	 2.569e-02
    Collisions	 7.053e+00	 7.096e+00	 7.131e+00	 2.836e-02
    Mov window	 1.745e+00	 1.758e+00	 1.778e+00	 1.260e-02
Sync Particles	 3.550e+01	 3.555e+01	 3.561e+01	 5.045e-02
   Sync Fields	 1.675e+01	 1.697e+01	 1.710e+01	 1.399e-01
Sync Densities	 1.764e+01	 1.783e+01	 1.800e+01	 1.305e-01
  Part Merging	 3.531e+00	 3.550e+00	 3.566e+00	 1.309e-02
Part Injection	 3.490e+00	 3.537e+00	 3.573e+00	 3.103e-02


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 7.126e+00	 7.144e+00	 7.176e+00	 1.899e-02
       Maxwell	 8.846e+00	 8.892e+00	 8.955e+00	 4.004e-02
    Maxwell_BC	 7.224e+00	 7.262e+00	 7.306e+00	 3.137e-02
   Diagnostics	 2.301e+01	 2.307e+01	 2.313e+01	 4.399e-02
     Densities	 1.762e+00	 1.786e+00	 1.822e+00	 2.518e-02
    Collisions	 7.060e+00	 7.104e+00	 7.138e+00	 2.848e-02
    Mov window	 1.747e+00	 1.760e+00	 1.780e+00	 1.260e-02
Sync Particles	 3.550e+01	 3.555e+01	 3.561e+01	 5.045e-02
   Sync Fields	 1.675e+01	 1.697e+01	 1.710e+01	 1.399e-01
Sync Densities	 1.764e+01	 1.783e+01	 1.800e+01	 1.305e-01
  Part Merging	 3.531e+00	 3.550e+00	 3.566e+00	 1.309e-02
Part Injection	 3.490e+00	 3.537e+00	 3.573e+00	 3.103e-02
