

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
       Maxwell	 6.222e+00	 6.244e+00	 6.275e+00	 1.943e-02
    Maxwell_BC	 5.034e+00	 5.076e+00	 5.129e+00	 3.585e-02
   Diagnostics	 1.612e+01	 1.615e+01	 1.619e+01	 2.777e-02
     Densities	 1.250e+00	 1.263e+00	 1.278e+00	 1.129e-02
    Collisions	 4.961e+00	 4.982e+00	 5.000e+00	 1.397e-02
    Mov window	 1.222e+00	 1.243e+00	 1.265e+00	 2.114e-02
Sync Particles	 2.482e+01	 2.491e+01	 2.501e+01	 7.001e-02
   Sync Fields	 1.155e+01	 1.174e+01	 1.185e+01	 1.116e-01
Sync Densities	 1.222e+01	 1.230e+01	 1.245e+01	 8.932e-02
  Part Merging	 2.475e+00	 2.496e+00	 2.512e+00	 1.346e-02
Part Injection	 2.480e+00	 2.516e+00	 2.549e+00	 2.511e-02


--- Timestep = 7 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.671e+00	 5.710e+00	 5.739e+00	 2.775e-02
       Maxwell	 7.106e+00	 7.128e+00	 7.162e+00	 2.335e-02
    Maxwell_BC	 5.737e+00	 5.794e+00	 5.853e+00	 4.138e-02
   Diagnostics	 1.841e+01	 1.845e+01	 1.851e+01	 3.587e-02
     Densities	 1.434e+00	 1.448e+00	 1.462e+00	 1.359e-02
    Collisions	 5.675e+00	 5.697e+00	 5.723e+00	 1.716e-02
    Mov window	 1.392e+00	 1.416e+00	 1.441e+00	 2.303e-02
Sync Particles	 2.836e+01	 2.846e+01	 2.859e+01	 8.152e-02
   Sync Fields	 1.324e+01	 1.338e+01	 1.352e+01	 1.002e-01
Sync Densities	 1.398e+01	 1.405e+01	 1.418e+01	 8.133e-02
  Part Merging	 2.812e+00	 2.848e+00	 2.874e+00	 2.255e-02
Part Injection	 2.817e+00	 2.879e+00	 2.907e+00	 3.609e-02


--- Timestep = 8 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.368e+00	 6.419e+00	 6.455e+00	 3.492e-02
       Maxwell	 7.988e+00	 8.014e+00	 8.051e+00	 2.661e-02
    Maxwell_BC	 6.448e+00	 6.506e+00	 6.574e+00	 4.802e-02
   Diagnostics	 2.070e+01	 2.074e+01	 2.082e+01	 4.739e-02
     Densities	 1.607e+00	 1.623e+00	 1.643e+00	 1.697e-02
    Collisions	 6.390e+00	 6.407e+00	 6.435e+00	 1.700e-02
    Mov window	 1.578e+00	 1.595e+00	 1.611e+00	 1.495e-02
Sync Particles	 3.192e+01	 3.201e+01	 3.212e+01	 7.700e-02
   Sync Fields	 1.485e+01	 1.499e+01	 1.516e+01	 1.233e-01
Sync Densities	 1.563e+01	 1.576e+01	 1.587e+01	 8.996e-02
  Part Merging	 3.165e+00	 3.205e+00	 3.234e+00	 2.548e-02
Part Injection	 3.175e+00	 3.237e+00	 3.269e+00	 3.657e-02


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 7.106e+00	 7.140e+00	 7.175e+00	 2.790e-02
       Maxwell	 8.871e+00	 8.907e+00	 8.953e+00	 3.146e-02
    Maxwell_BC	 7.181e+00	 7.236e+00	 7.287e+00	 3.784e-02
   Diagnostics	 2.301e+01	 2.305e+01	 2.313e+01	 5.006e-02
     Densities	 1.784e+00	 1.804e+00	 1.824e+00	 1.577e-02
    Collisions	 7.101e+00	 7.114e+00	 7.135e+00	 1.285e-02
    Mov window	 1.753e+00	 1.767e+00	 1.782e+00	 1.069e-02
Sync Particles	 3.547e+01	 3.555e+01	 3.566e+01	 7.419e-02
   Sync Fields	 1.641e+01	 1.659e+01	 1.674e+01	 1.291e-01
Sync Densities	 1.730e+01	 1.744e+01	 1.755e+01	 1.066e-01
  Part Merging	 3.522e+00	 3.559e+00	 3.586e+00	 2.434e-02
Part Injection	 3.534e+00	 3.596e+00	 3.642e+00	 3.897e-02


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 7.106e+00	 7.140e+00	 7.175e+00	 2.790e-02
       Maxwell	 8.871e+00	 8.907e+00	 8.953e+00	 3.146e-02
    Maxwell_BC	 7.181e+00	 7.236e+00	 7.287e+00	 3.784e-02
   Diagnostics	 2.304e+01	 2.307e+01	 2.316e+01	 4.914e-02
     Densities	 1.787e+00	 1.806e+00	 1.825e+00	 1.551e-02
    Collisions	 7.108e+00	 7.121e+00	 7.142e+00	 1.250e-02
    Mov window	 1.755e+00	 1.769e+00	 1.785e+00	 1.108e-02
Sync Particles	 3.547e+01	 3.555e+01	 3.566e+01	 7.419e-02
   Sync Fields	 1.641e+01	 1.659e+01	 1.674e+01	 1.291e-01
Sync Densities	 1.730e+01	 1.744e+01	 1.755e+01	 1.066e-01
  Part Merging	 3.522e+00	 3.559e+00	 3.586e+00	 2.434e-02
Part Injection	 3.534e+00	 3.596e+00	 3.642e+00	 3.897e-02
