

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
       Maxwell	 6.219e+00	 6.255e+00	 6.296e+00	 3.473e-02
    Maxwell_BC	 5.019e+00	 5.078e+00	 5.136e+00	 4.132e-02
   Diagnostics	 1.619e+01	 1.622e+01	 1.627e+01	 2.855e-02
     Densities	 1.244e+00	 1.273e+00	 1.303e+00	 2.768e-02
    Collisions	 4.981e+00	 5.000e+00	 5.031e+00	 1.906e-02
    Mov window	 1.228e+00	 1.236e+00	 1.243e+00	 5.519e-03
Sync Particles	 2.493e+01	 2.498e+01	 2.504e+01	 4.267e-02
   Sync Fields	 1.151e+01	 1.160e+01	 1.178e+01	 1.036e-01
Sync Densities	 1.206e+01	 1.220e+01	 1.233e+01	 9.462e-02
  Part Merging	 2.455e+00	 2.494e+00	 2.510e+00	 2.259e-02
Part Injection	 2.509e+00	 2.532e+00	 2.559e+00	 2.053e-02


--- Timestep = 7 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.786e+00	 5.817e+00	 5.867e+00	 3.215e-02
       Maxwell	 7.171e+00	 7.206e+00	 7.244e+00	 2.901e-02
    Maxwell_BC	 5.800e+00	 5.854e+00	 5.930e+00	 4.754e-02
   Diagnostics	 1.862e+01	 1.865e+01	 1.871e+01	 3.816e-02
     Densities	 1.441e+00	 1.470e+00	 1.507e+00	 2.957e-02
    Collisions	 5.731e+00	 5.757e+00	 5.801e+00	 2.797e-02
    Mov window	 1.421e+00	 1.430e+00	 1.440e+00	 6.729e-03
Sync Particles	 2.871e+01	 2.875e+01	 2.878e+01	 2.885e-02
   Sync Fields	 1.329e+01	 1.340e+01	 1.358e+01	 1.179e-01
Sync Densities	 1.384e+01	 1.404e+01	 1.418e+01	 1.249e-01
  Part Merging	 2.826e+00	 2.871e+00	 2.892e+00	 2.611e-02
Part Injection	 2.888e+00	 2.920e+00	 2.948e+00	 2.289e-02


--- Timestep = 8 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.557e+00	 6.587e+00	 6.634e+00	 3.031e-02
       Maxwell	 8.136e+00	 8.164e+00	 8.194e+00	 2.424e-02
    Maxwell_BC	 6.554e+00	 6.628e+00	 6.726e+00	 6.220e-02
   Diagnostics	 2.104e+01	 2.110e+01	 2.116e+01	 4.522e-02
