

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.441e-01	 6.596e-01	 6.687e-01	 9.268e-03
       Maxwell	 7.912e-01	 7.987e-01	 8.025e-01	 4.454e-03
    Maxwell_BC	 6.414e-01	 6.690e-01	 6.887e-01	 1.718e-02
   Diagnostics	 2.079e+00	 2.089e+00	 2.109e+00	 1.159e-02
     Densities	 1.484e-01	 1.637e-01	 1.787e-01	 1.083e-02
    Collisions	 6.362e-01	 6.433e-01	 6.578e-01	 8.529e-03
    Mov window	 1.573e-01	 1.619e-01	 1.692e-01	 4.417e-03
Sync Particles	 3.159e+00	 3.185e+00	 3.222e+00	 2.289e-02
   Sync Fields	 1.457e+00	 1.564e+00	 1.640e+00	 7.198e-02
Sync Densities	 1.610e+00	 1.654e+00	 1.763e+00	 6.326e-02
  Part Merging	 3.202e-01	 3.229e-01	 3.260e-01	 2.443e-03
Part Injection	 3.075e-01	 3.162e-01	 3.342e-01	 1.057e-02


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.301e+00	 1.305e+00	 1.310e+00	 3.293e-03
       Maxwell	 1.583e+00	 1.595e+00	 1.606e+00	 8.174e-03
    Maxwell_BC	 1.287e+00	 1.321e+00	 1.349e+00	 2.449e-02
   Diagnostics	 4.139e+00	 4.156e+00	 4.166e+00	 1.026e-02
     Densities	 3.111e-01	 3.262e-01	 3.425e-01	 1.113e-02
    Collisions	 1.263e+00	 1.279e+00	 1.295e+00	 1.223e-02
    Mov window	 3.160e-01	 3.198e-01	 3.221e-01	 2.294e-03
Sync Particles	 6.334e+00	 6.368e+00	 6.421e+00	 3.420e-02
   Sync Fields	 2.935e+00	 3.036e+00	 3.137e+00	 7.208e-02
Sync Densities	 3.149e+00	 3.209e+00	 3.233e+00	 3.468e-02
  Part Merging	 6.254e-01	 6.375e-01	 6.527e-01	 9.777e-03
Part Injection	 6.300e-01	 6.438e-01	 6.580e-01	 9.950e-03


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.930e+00	 1.943e+00	 1.953e+00	 8.299e-03
       Maxwell	 2.390e+00	 2.396e+00	 2.404e+00	 5.551e-03
    Maxwell_BC	 1.935e+00	 1.972e+00	 2.003e+00	 2.944e-02
   Diagnostics	 6.195e+00	 6.220e+00	 6.240e+00	 1.734e-02
     Densities	 4.835e-01	 4.902e-01	 4.977e-01	 5.417e-03
    Collisions	 1.892e+00	 1.920e+00	 1.941e+00	 1.792e-02
    Mov window	 4.711e-01	 4.755e-01	 4.785e-01	 3.101e-03
Sync Particles	 9.529e+00	 9.564e+00	 9.602e+00	 2.678e-02
   Sync Fields	 4.495e+00	 4.566e+00	 4.633e+00	 4.967e-02
Sync Densities	 4.746e+00	 4.791e+00	 4.842e+00	 4.437e-02
  Part Merging	 9.368e-01	 9.584e-01	 9.833e-01	 1.684e-02
Part Injection	 9.576e-01	 9.715e-01	 9.896e-01	 1.163e-02


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.576e+00	 2.592e+00	 2.610e+00	 1.189e-02
       Maxwell	 3.187e+00	 3.200e+00	 3.215e+00	 1.007e-02
    Maxwell_BC	 2.584e+00	 2.626e+00	 2.660e+00	 2.838e-02
   Diagnostics	 8.266e+00	 8.299e+00	 8.334e+00	 2.893e-02
     Densities	 6.440e-01	 6.544e-01	 6.649e-01	 1.037e-02
    Collisions	 2.546e+00	 2.564e+00	 2.574e+00	 1.077e-02
    Mov window	 6.324e-01	 6.367e-01	 6.419e-01	 3.935e-03
Sync Particles	 1.277e+01	 1.281e+01	 1.285e+01	 3.096e-02
   Sync Fields	 5.985e+00	 6.037e+00	 6.134e+00	 5.739e-02
Sync Densities	 6.310e+00	 6.363e+00	 6.430e+00	 4.366e-02
  Part Merging	 1.258e+00	 1.280e+00	 1.298e+00	 1.446e-02
Part Injection	 1.280e+00	 1.295e+00	 1.310e+00	 1.148e-02


--- Timestep = 4 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.229e+00	 3.242e+00	 3.256e+00	 1.058e-02
       Maxwell	 3.987e+00	 4.003e+00	 4.027e+00	 1.488e-02
    Maxwell_BC	 3.225e+00	 3.277e+00	 3.300e+00	 3.035e-02
   Diagnostics	 1.035e+01	 1.038e+01	 1.041e+01	 2.380e-02
     Densities	 7.983e-01	 8.168e-01	 8.321e-01	 1.242e-02
    Collisions	 3.195e+00	 3.212e+00	 3.228e+00	 1.327e-02
    Mov window	 7.919e-01	 7.979e-01	 8.063e-01	 6.000e-03
Sync Particles	 1.597e+01	 1.602e+01	 1.608e+01	 4.579e-02
   Sync Fields	 7.431e+00	 7.513e+00	 7.617e+00	 7.016e-02
Sync Densities	 7.892e+00	 7.935e+00	 7.989e+00	 3.494e-02
  Part Merging	 1.583e+00	 1.605e+00	 1.633e+00	 1.781e-02
Part Injection	 1.599e+00	 1.622e+00	 1.635e+00	 1.435e-02


--- Timestep = 5 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.862e+00	 3.888e+00	 3.918e+00	 2.015e-02
       Maxwell	 4.776e+00	 4.797e+00	 4.833e+00	 2.240e-02
    Maxwell_BC	 3.869e+00	 3.923e+00	 3.952e+00	 3.252e-02
   Diagnostics	 1.239e+01	 1.243e+01	 1.246e+01	 2.880e-02
     Densities	 9.634e-01	 9.755e-01	 9.849e-01	 7.709e-03
    Collisions	 3.834e+00	 3.853e+00	 3.881e+00	 1.937e-02
    Mov window	 9.393e-01	 9.561e-01	 9.702e-01	 1.107e-02
Sync Particles	 1.916e+01	 1.920e+01	 1.922e+01	 2.706e-02
   Sync Fields	 8.878e+00	 8.969e+00	 9.017e+00	 5.344e-02
Sync Densities	 9.410e+00	 9.483e+00	 9.569e+00	 5.835e-02
  Part Merging	 1.912e+00	 1.930e+00	 1.950e+00	 1.388e-02
Part Injection	 1.925e+00	 1.939e+00	 1.956e+00	 1.384e-02


--- Timestep = 6 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 4.519e+00	 4.543e+00	 4.566e+00	 1.661e-02
       Maxwell	 5.586e+00	 5.607e+00	 5.649e+00	 2.469e-02
    Maxwell_BC	 4.526e+00	 4.581e+00	 4.611e+00	 3.383e-02
   Diagnostics	 1.450e+01	 1.453e+01	 1.457e+01	 3.032e-02
     Densities	 1.137e+00	 1.147e+00	 1.170e+00	 1.366e-02
    Collisions	 4.475e+00	 4.495e+00	 4.510e+00	 1.457e-02
    Mov window	 1.095e+00	 1.116e+00	 1.131e+00	 1.320e-02
Sync Particles	 2.240e+01	 2.244e+01	 2.249e+01	 3.525e-02
   Sync Fields	 1.036e+01	 1.047e+01	 1.051e+01	 6.105e-02
Sync Densities	 1.103e+01	 1.108e+01	 1.115e+01	 4.493e-02
  Part Merging	 2.242e+00	 2.255e+00	 2.282e+00	 1.620e-02
Part Injection	 2.264e+00	 2.275e+00	 2.290e+00	 1.022e-02


--- Timestep = 7 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.171e+00	 5.193e+00	 5.220e+00	 1.769e-02
       Maxwell	 6.372e+00	 6.405e+00	 6.447e+00	 2.702e-02
    Maxwell_BC	 5.168e+00	 5.232e+00	 5.267e+00	 4.007e-02
   Diagnostics	 1.654e+01	 1.659e+01	 1.664e+01	 4.165e-02
     Densities	 1.290e+00	 1.310e+00	 1.326e+00	 1.289e-02
    Collisions	 5.110e+00	 5.135e+00	 5.166e+00	 2.270e-02
    Mov window	 1.250e+00	 1.276e+00	 1.295e+00	 1.604e-02
Sync Particles	 2.561e+01	 2.565e+01	 2.568e+01	 2.225e-02
   Sync Fields	 1.182e+01	 1.192e+01	 1.201e+01	 7.895e-02
Sync Densities	 1.258e+01	 1.267e+01	 1.281e+01	 8.646e-02
  Part Merging	 2.562e+00	 2.578e+00	 2.602e+00	 1.543e-02
Part Injection	 2.581e+00	 2.595e+00	 2.615e+00	 1.315e-02


--- Timestep = 8 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.814e+00	 5.846e+00	 5.887e+00	 2.685e-02
       Maxwell	 7.173e+00	 7.208e+00	 7.251e+00	 2.785e-02
    Maxwell_BC	 5.809e+00	 5.880e+00	 5.933e+00	 4.725e-02
   Diagnostics	 1.860e+01	 1.866e+01	 1.871e+01	 5.294e-02
