

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
       Maxwell	 5.511e+00	 5.530e+00	 5.560e+00	 2.042e-02
    Maxwell_BC	 4.512e+00	 4.534e+00	 4.583e+00	 2.877e-02
   Diagnostics	 1.429e+01	 1.434e+01	 1.441e+01	 4.736e-02
     Densities	 1.100e+00	 1.128e+00	 1.153e+00	 1.916e-02
    Collisions	 4.401e+00	 4.416e+00	 4.424e+00	 9.055e-03
    Mov window	 1.081e+00	 1.093e+00	 1.111e+00	 1.163e-02
Sync Particles	 2.205e+01	 2.212e+01	 2.217e+01	 4.400e-02
   Sync Fields	 9.992e+00	 1.014e+01	 1.024e+01	 9.303e-02
Sync Densities	 1.039e+01	 1.060e+01	 1.073e+01	 1.304e-01
  Part Merging	 2.213e+00	 2.228e+00	 2.248e+00	 1.322e-02
Part Injection	 2.212e+00	 2.230e+00	 2.244e+00	 1.278e-02


--- Timestep = 7 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.089e+00	 5.092e+00	 5.096e+00	 2.993e-03
       Maxwell	 6.296e+00	 6.320e+00	 6.343e+00	 2.165e-02
    Maxwell_BC	 5.164e+00	 5.185e+00	 5.218e+00	 2.177e-02
   Diagnostics	 1.632e+01	 1.638e+01	 1.645e+01	 4.582e-02
     Densities	 1.262e+00	 1.288e+00	 1.311e+00	 1.787e-02
    Collisions	 5.041e+00	 5.052e+00	 5.063e+00	 8.558e-03
    Mov window	 1.232e+00	 1.249e+00	 1.271e+00	 1.625e-02
Sync Particles	 2.520e+01	 2.529e+01	 2.534e+01	 5.471e-02
   Sync Fields	 1.147e+01	 1.162e+01	 1.175e+01	 1.044e-01
Sync Densities	 1.193e+01	 1.213e+01	 1.224e+01	 1.201e-01
  Part Merging	 2.529e+00	 2.545e+00	 2.565e+00	 1.580e-02
Part Injection	 2.524e+00	 2.551e+00	 2.577e+00	 1.890e-02


--- Timestep = 8 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.726e+00	 5.730e+00	 5.733e+00	 2.690e-03
       Maxwell	 7.084e+00	 7.105e+00	 7.125e+00	 1.929e-02
    Maxwell_BC	 5.797e+00	 5.824e+00	 5.845e+00	 2.072e-02
   Diagnostics	 1.834e+01	 1.841e+01	 1.850e+01	 5.602e-02
     Densities	 1.410e+00	 1.440e+00	 1.455e+00	 1.775e-02
    Collisions	 5.667e+00	 5.681e+00	 5.703e+00	 1.438e-02
    Mov window	 1.378e+00	 1.403e+00	 1.424e+00	 1.936e-02
Sync Particles	 2.837e+01	 2.846e+01	 2.850e+01	 5.005e-02
   Sync Fields	 1.291e+01	 1.304e+01	 1.318e+01	 9.524e-02
Sync Densities	 1.346e+01	 1.365e+01	 1.377e+01	 1.234e-01
  Part Merging	 2.848e+00	 2.860e+00	 2.873e+00	 9.544e-03
Part Injection	 2.844e+00	 2.867e+00	 2.893e+00	 1.799e-02


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.359e+00	 6.366e+00	 6.372e+00	 5.139e-03
       Maxwell	 7.863e+00	 7.893e+00	 7.912e+00	 1.951e-02
    Maxwell_BC	 6.445e+00	 6.463e+00	 6.477e+00	 1.307e-02
   Diagnostics	 2.037e+01	 2.045e+01	 2.054e+01	 6.280e-02
     Densities	 1.566e+00	 1.603e+00	 1.629e+00	 2.296e-02
    Collisions	 6.301e+00	 6.313e+00	 6.331e+00	 1.150e-02
    Mov window	 1.538e+00	 1.559e+00	 1.580e+00	 1.835e-02
Sync Particles	 3.152e+01	 3.162e+01	 3.167e+01	 5.764e-02
   Sync Fields	 1.438e+01	 1.446e+01	 1.464e+01	 1.060e-01
Sync Densities	 1.496e+01	 1.514e+01	 1.528e+01	 1.193e-01
  Part Merging	 3.158e+00	 3.174e+00	 3.184e+00	 1.076e-02
Part Injection	 3.166e+00	 3.187e+00	 3.220e+00	 2.001e-02


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.359e+00	 6.366e+00	 6.372e+00	 5.139e-03
       Maxwell	 7.863e+00	 7.893e+00	 7.912e+00	 1.951e-02
    Maxwell_BC	 6.445e+00	 6.463e+00	 6.477e+00	 1.307e-02
   Diagnostics	 2.039e+01	 2.048e+01	 2.057e+01	 6.451e-02
     Densities	 1.568e+00	 1.605e+00	 1.631e+00	 2.306e-02
    Collisions	 6.307e+00	 6.319e+00	 6.337e+00	 1.153e-02
    Mov window	 1.539e+00	 1.561e+00	 1.582e+00	 1.827e-02
Sync Particles	 3.152e+01	 3.162e+01	 3.167e+01	 5.764e-02
   Sync Fields	 1.438e+01	 1.446e+01	 1.464e+01	 1.060e-01
Sync Densities	 1.496e+01	 1.514e+01	 1.528e+01	 1.193e-01
  Part Merging	 3.158e+00	 3.174e+00	 3.184e+00	 1.076e-02
Part Injection	 3.166e+00	 3.187e+00	 3.220e+00	 2.001e-02
