total_pe,total_kp,total_lp,end_ts,mapping,model_events,network_events,total_events,runtime,events_processed,events_aborted,events_rb,pe_event_ties,eff,send_loc_remote,percent_loc,send_net_remote,percent_net,rb_total,rb_primary,rb_secondary,fc_attempts,num_gvt,net_events,event_rate,events_past_end,event_alloc,memory_alloc,memory_wasted,remote_sends,remote_recvs,pe_struct,kp_struct,lp_struct,lp_model_struct,lp_rngs,total_lp_size,event_struct,event_struct_model,init_time,pq_time,avl_time,lz4_time,buddy_time,event_proc_time,event_cancel_time,event_abort_time,gvt_time,fc_time,primary_rb_time,net_read_time,net_other_time,inst_comp_time,inst_write_time,total_time
4,64,16000,19000.00,linear,105701,16,5716,92.2019,306131673,0,2147673,0,99.29,0,0.00,57000016,18.75,160797,160797,0,1195832,298958,303984000,3296939.50,16105,105717,57326,5,57803730,57803730,1328,320,320,8,80,408,344,352,0.0015,0.7705,0.1850,0.0000,0.0000,1.0999,0.0003,0.0000,0.3757,0.1851,0.0069,0.4032,0.1685,0.0000,0.0000,2.2128
4,64,16000,19000.00,linear,105701,16,5716,87.5285,306152431,0,2168431,0,99.29,0,0.00,56985204,18.75,161394,161394,0,1195916,298979,303984000,3472971.82,16098,105717,57326,5,57799628,57799628,1328,320,320,8,80,408,344,352,0.0014,0.8020,0.1791,0.0000,0.0000,1.0863,0.0003,0.0000,0.3618,0.1786,0.0068,0.3934,0.1458,0.0000,0.0000,2.1007
4,64,16000,19000.00,linear,105701,16,5716,87.9307,306154506,0,2170506,0,99.29,0,0.00,57000053,18.75,161995,161995,0,1195924,298981,303984000,3457087.74,16181,105717,57326,5,57813349,57813349,1328,320,320,8,80,408,344,352,0.0016,0.8134,0.1790,0.0000,0.0000,1.0955,0.0003,0.0000,0.3605,0.1807,0.0070,0.3982,0.1454,0.0000,0.0000,2.1103
