

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
       Maxwell	 5.562e+00	 5.578e+00	 5.615e+00	 2.140e-02
    Maxwell_BC	 4.524e+00	 4.550e+00	 4.605e+00	 3.257e-02
   Diagnostics	 1.438e+01	 1.446e+01	 1.450e+01	 4.790e-02
     Densities	 1.135e+00	 1.140e+00	 1.149e+00	 5.323e-03
    Collisions	 4.445e+00	 4.467e+00	 4.491e+00	 1.636e-02
    Mov window	 1.089e+00	 1.104e+00	 1.120e+00	 1.169e-02
Sync Particles	 2.225e+01	 2.232e+01	 2.238e+01	 4.382e-02
   Sync Fields	 9.943e+00	 1.013e+01	 1.029e+01	 1.466e-01
Sync Densities	 1.042e+01	 1.055e+01	 1.066e+01	 9.414e-02
  Part Merging	 2.218e+00	 2.223e+00	 2.229e+00	 4.626e-03
Part Injection	 2.221e+00	 2.245e+00	 2.260e+00	 1.593e-02


--- Timestep = 7 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.099e+00	 5.117e+00	 5.135e+00	 1.597e-02
       Maxwell	 6.360e+00	 6.380e+00	 6.417e+00	 2.193e-02
    Maxwell_BC	 5.167e+00	 5.202e+00	 5.262e+00	 3.771e-02
   Diagnostics	 1.647e+01	 1.654e+01	 1.658e+01	 4.551e-02
     Densities	 1.290e+00	 1.299e+00	 1.320e+00	 1.246e-02
    Collisions	 5.088e+00	 5.104e+00	 5.131e+00	 1.702e-02
    Mov window	 1.251e+00	 1.267e+00	 1.279e+00	 1.022e-02
Sync Particles	 2.549e+01	 2.553e+01	 2.556e+01	 2.367e-02
   Sync Fields	 1.136e+01	 1.157e+01	 1.174e+01	 1.447e-01
Sync Densities	 1.193e+01	 1.206e+01	 1.215e+01	 8.171e-02
  Part Merging	 2.540e+00	 2.547e+00	 2.551e+00	 4.379e-03
Part Injection	 2.537e+00	 2.569e+00	 2.590e+00	 2.034e-02


--- Timestep = 8 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.744e+00	 5.764e+00	 5.785e+00	 1.434e-02
       Maxwell	 7.167e+00	 7.188e+00	 7.223e+00	 2.228e-02
    Maxwell_BC	 5.821e+00	 5.852e+00	 5.908e+00	 3.366e-02
   Diagnostics	 1.855e+01	 1.862e+01	 1.866e+01	 4.297e-02
     Densities	 1.445e+00	 1.460e+00	 1.486e+00	 1.558e-02
    Collisions	 5.737e+00	 5.750e+00	 5.776e+00	 1.504e-02
    Mov window	 1.401e+00	 1.425e+00	 1.439e+00	 1.469e-02
Sync Particles	 2.870e+01	 2.875e+01	 2.878e+01	 3.149e-02
   Sync Fields	 1.289e+01	 1.308e+01	 1.328e+01	 1.640e-01
Sync Densities	 1.339e+01	 1.360e+01	 1.371e+01	 1.233e-01
  Part Merging	 2.862e+00	 2.866e+00	 2.873e+00	 4.270e-03
Part Injection	 2.879e+00	 2.894e+00	 2.905e+00	 9.527e-03


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.395e+00	 6.403e+00	 6.419e+00	 9.876e-03
       Maxwell	 7.962e+00	 7.983e+00	 8.010e+00	 1.957e-02
    Maxwell_BC	 6.463e+00	 6.491e+00	 6.534e+00	 2.621e-02
   Diagnostics	 2.062e+01	 2.067e+01	 2.071e+01	 3.514e-02
     Densities	 1.596e+00	 1.623e+00	 1.640e+00	 1.665e-02
    Collisions	 6.362e+00	 6.382e+00	 6.411e+00	 1.969e-02
    Mov window	 1.564e+00	 1.581e+00	 1.597e+00	 1.218e-02
Sync Particles	 3.186e+01	 3.191e+01	 3.196e+01	 4.295e-02
   Sync Fields	 1.422e+01	 1.446e+01	 1.470e+01	 1.944e-01
Sync Densities	 1.489e+01	 1.507e+01	 1.517e+01	 1.049e-01
  Part Merging	 3.171e+00	 3.180e+00	 3.187e+00	 5.967e-03
Part Injection	 3.194e+00	 3.209e+00	 3.221e+00	 1.124e-02


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.395e+00	 6.403e+00	 6.419e+00	 9.876e-03
       Maxwell	 7.962e+00	 7.983e+00	 8.010e+00	 1.957e-02
    Maxwell_BC	 6.463e+00	 6.491e+00	 6.534e+00	 2.621e-02
   Diagnostics	 2.064e+01	 2.070e+01	 2.074e+01	 3.555e-02
     Densities	 1.597e+00	 1.625e+00	 1.642e+00	 1.670e-02
    Collisions	 6.370e+00	 6.390e+00	 6.418e+00	 1.906e-02
    Mov window	 1.566e+00	 1.583e+00	 1.599e+00	 1.207e-02
Sync Particles	 3.186e+01	 3.191e+01	 3.196e+01	 4.295e-02
   Sync Fields	 1.422e+01	 1.446e+01	 1.470e+01	 1.944e-01
Sync Densities	 1.489e+01	 1.507e+01	 1.517e+01	 1.049e-01
  Part Merging	 3.171e+00	 3.180e+00	 3.187e+00	 5.967e-03
Part Injection	 3.194e+00	 3.209e+00	 3.221e+00	 1.124e-02
