total_pe,total_kp,total_lp,end_ts,mapping,model_events,network_events,total_events,runtime,events_processed,events_aborted,events_rb,pe_event_ties,eff,send_loc_remote,percent_loc,send_net_remote,percent_net,rb_total,rb_primary,rb_secondary,fc_attempts,num_gvt,net_events,event_rate,events_past_end,event_alloc,memory_alloc,memory_wasted,remote_sends,remote_recvs,pe_struct,kp_struct,lp_struct,lp_model_struct,lp_rngs,total_lp_size,event_struct,event_struct_model,init_time,pq_time,avl_time,lz4_time,buddy_time,event_proc_time,event_cancel_time,event_abort_time,gvt_time,fc_time,primary_rb_time,net_read_time,net_other_time,inst_comp_time,inst_write_time,total_time
4,64,16000,19000.00,linear,105701,16,5716,91.5433,306248673,0,2264673,0,99.26,0,0.00,56991195,18.75,166072,166072,0,1196372,299093,303984000,3320658.24,16072,105717,57326,5,57840119,57840119,1328,320,320,8,80,408,344,352,0.0021,0.8237,0.1853,0.0000,0.0000,1.1107,0.0003,0.0000,0.3433,0.1859,0.0071,0.4063,0.1472,0.0000,0.0000,2.1970
4,64,16000,19000.00,linear,105701,16,5716,91.3628,306224477,0,2240477,0,99.26,0,0.00,56990138,18.75,165186,165186,0,1196260,299065,303984000,3327218.66,16019,105717,57326,5,57830184,57830184,1328,320,320,8,80,408,344,352,0.0021,0.8255,0.1830,0.0000,0.0000,1.1081,0.0003,0.0000,0.3409,0.1844,0.0068,0.4049,0.1467,0.0000,0.0000,2.1927
4,64,16000,19000.00,linear,105701,16,5716,93.0320,306150142,0,2166142,0,99.29,0,0.00,56985580,18.75,160671,160671,0,1195976,298994,303984000,3267522.26,16105,105717,57326,5,57797630,57797630,1328,320,320,8,80,408,344,352,0.0021,0.8202,0.1867,0.0000,0.0000,1.1187,0.0003,0.0000,0.3527,0.1892,0.0070,0.4101,0.1512,0.0000,0.0000,2.2327
